"","condition"
"TCGA-BH-A208-01A","B"
"TCGA-A2-A0CL-01A","B"
"TCGA-LL-A6FR-01A","B"
"TCGA-E9-A1N6-01A","B"
"TCGA-AR-A251-01A","B"
"TCGA-A2-A4S1-01A","B"
"TCGA-E2-A2P5-01A","B"
"TCGA-A2-A0EV-01A","B"
"TCGA-LL-A6FQ-01A","B"
"TCGA-A2-A04T-01A","B"
